link,price,bedrooms,bathrooms,receptions,area,address,date,description,title,image
https://www.zoopla.co.uk//for-sale/details/44336396,"£194,995",1,1,1,NA,"Pedley Road, Chadwell Heath, Romford RM8",18th Apr 2020,"Chain free - long lease - cul-de-sac LOCATIONIdeally suiting a first time buyer, investor or maybe someone downsizing. This chain free ground floor Fairview construction flat is immediately ready to move into.Recently fully refurbished throughout, ...",1 bed flat for sale,https://lid.zoocdn.com/354/255/f12595de66d1b3e05400e141bd7075bec5179ec1.jpg
https://www.zoopla.co.uk//for-sale/details/54780791,"£650,000",4,1,1,NA,"Redstart Close, London E6",17th Apr 2020,"Book online today 24/7 at ** £650,000** **video tour of property now available on request** We are pleased to offer to the market this delightful four bedroom detached house, situated in this sought-after quiet cul-de-sac in Beckton. The property ...",4 bed detached house for sale,https://lid.zoocdn.com/354/255/e7d432c46014960c5ce8428f33a71442eca9fbf5.jpg
https://www.zoopla.co.uk//for-sale/details/54780393,"£400,000",1,1,1,NA,"Malmesbury Road, London E3",17th Apr 2020,"Guide price 400,000-425,000. Exciting property offered chain free, Freehold Terrace House with Garage. Comprising of a reception, with an open serving hatch through to the fitted kitchen, a do...",1 bed terraced house for sale,https://lid.zoocdn.com/354/255/44ca8af37ac5295e58241bb2f6eeb658072aeb87.jpg
https://www.zoopla.co.uk//new-homes/details/54780373,"£395,000",1,NA,NA,NA,"Lime Quarter, Devons Road, London E3",17th Apr 2020,Stunning one bedroom apartment in the new Lime Quarter development. It is situated on the seventh floor and has a west facing balcony. Help to Buy is available.,1 bed flat for sale,https://lid.zoocdn.com/354/255/63145dfcdf499eeea1e0842fbc61c2eabfc681db.jpg
https://www.zoopla.co.uk//new-homes/details/54780371,"£575,000",2,NA,NA,NA,"Greenwich Square - Courtyard, London SE10",17th Apr 2020,Beautiful two bed apartment at Courtyard at Greenwich Square. It is located on the first floor and has a stunning private balcony. Help to Buy is available.,2 bed flat for sale,https://lid.zoocdn.com/354/255/92fad3404980ad5b1149b9ceffd8925371086582.jpg
https://www.zoopla.co.uk//for-sale/details/54780336,"£600,000",1,1,1,NA,"Marshall Building, 3 Hermitage Street, London W2",17th Apr 2020,A modern lateral 807 sq ft one bedroom apartment with balcony in this popular development forming part of Paddington Basin. Moments from Paddington Station (Heathrow Express),1 bed flat for sale,https://lid.zoocdn.com/354/255/8931a983d154a2a9e343bb215fea575d78939180.jpg
https://www.zoopla.co.uk//for-sale/details/54780317,"£850,000",2,2,1,NA,"Regency House, The Boulevard, London SW6",17th Apr 2020,"A bright and spacious two bedroom apartment on the seventh floor of this popular riverside development. The property has two bathrooms, a spacious reception room, a seperate kitchen and a balcony with far reaching views.",2 bed flat for sale,https://lid.zoocdn.com/354/255/a7cb6754217711ee91f73f64a6787af57cf92cf9.jpg
https://www.zoopla.co.uk//for-sale/details/54780283,"£295,000",1,NA,NA,NA,"Avondale Road, South Croydon CR2",17th Apr 2020,"Do not miss out on your dream home. Call us now ! Newly refurbished 1 large bedroom ground floor flat, stunning kitchen/reception room, private garden and off street parking. Easy access to transport.",1 bed flat for sale,https://lid.zoocdn.com/354/255/16b0cd1f7d7d070c8749315afec21c373e35b87a.jpg
https://www.zoopla.co.uk//for-sale/details/54780273,"£775,000",3,1,2,NA,"Langham Road, Turnpike Lane, London N15",17th Apr 2020,"Neatly refurbished and interior designed, this delightful three double bedroom Victorian End of Terrace family home features it’s own private garden which is conveniently located within close proximity to Turnpike Lane. (truncated)",3 bed end terrace house for sale,https://lid.zoocdn.com/354/255/59186b846d419a46a87926415a166436e2c10d2f.jpg
https://www.zoopla.co.uk//new-homes/details/51890851,"£3,399,995",3,3,2,NA,"The Wilberforce Penthouse, Nine Elmspoint, Nine Elms. SW8",17th Apr 2020,"A luxury three bedroom duplex penthouse with private balcony and large private terrace offering fantastic views of London in Nine Elms, SW8. This penthouse is spread across the 36th and 37th floors of and offers 2,124 (truncated)",3 bed flat for sale,https://lid.zoocdn.com/354/255/f1a37cc162373534d13c0919190252d1440130ca.jpg
https://www.zoopla.co.uk//new-homes/details/54780229,"£4,000,000",3,3,NA,NA,"Lincoln Square, Lincoln's Inn Fields WC2A",17th Apr 2020,"Luxury dual aspect three bedroom apartment located on the third floor of this luxury new development Lincoln Square, WC2 Amenities now open! Virtual tours available A beautiful three bedroom (truncated)",3 bed flat for sale,https://lid.zoocdn.com/354/255/d0c481ef0892fd6f238382aac4ce813d03269a51.jpg
https://www.zoopla.co.uk//new-homes/details/54780228,"£4,950,000",3,NA,NA,NA,"Lincoln Square, Westminster WC2A",17th Apr 2020,"Three bedroom apartment in luxury new development Lincoln Square Amenities now open Virtual tours available A beautiful three bedroom apartment on the fifth floor within a new development, Lincoln (truncated)",3 bed flat for sale,https://lid.zoocdn.com/354/255/7919d43dac1c77b70295bc8cba39d86e094efd69.jpg
https://www.zoopla.co.uk//new-homes/details/54780101,"£450,000",2,3,1,NA,"Outram Road, Addiscombe, Croydon CR0",17th Apr 2020,"Contact us today for A video tour! Oaks Estate Agents, Addiscombe welcome to the market an exciting small development set within the East India Estate conservation area, available on the Help To Buy Scheme. Situated on arguably one of the most sought ...",2 bed flat for sale,https://lid.zoocdn.com/354/255/c6aa657d9d0db9ff94c065673541d87ef6360ed7.jpg
https://www.zoopla.co.uk//for-sale/details/54780074,"£3,500,000",20,5,4,NA,"Corfton Road, Ealing, London W5",17th Apr 2020,"Currently used as residential home, with C2 use of class (Residential Institution), a detached Victorian house in a premier Ealing location.",20 bed detached house for sale,https://lid.zoocdn.com/354/255/8035e973cf0c56f79696847dfdfb7166a67ff034.jpg
https://www.zoopla.co.uk//for-sale/details/54780069,"£1,250,000",3,2,2,NA,"Melrose Gardens, Edgware HA8",17th Apr 2020,Exciting Rare Opportunity Three bed well-proportioned semidetached house on a quiet immaculately kept cul-de-sac (Horse shoe) with large green space. The house has planning permission for 3m extension and loft conversion which will make it a 4no. ...,3 bed semi-detached house for sale,https://lid.zoocdn.com/354/255/1420f3c9bd55367f9ad816d032e598bdeac5d257.jpg
https://www.zoopla.co.uk//new-homes/details/53907148,"£625,000",3,NA,NA,NA,"Locksley Place, Chase Farm, Lavender Hill, Enfield, Greater London EN2",17th Apr 2020,"Assisted move, part exchange incentives available (subject to terms and conditions). Welcome to Locksley Place, a wonderful development of three and four bedroom family homes. Located on the ever popular Ridgeway, Enfield, Locksley Place is within ...",3 bed terraced house for sale,https://lid.zoocdn.com/354/255/e5ad8014c3e97aa683cad1865f2548cee963a0f7.jpg
https://www.zoopla.co.uk//new-homes/details/54779904,"£398,000",1,1,1,670 sq. ft*,"Colindale, London NW9",17th Apr 2020,"Bedrooms 1 price £398,000 floor ground total area 62.24 sq M / 670 sq ft",1 bed flat for sale,https://lid.zoocdn.com/354/255/7bf1dceef5378b7b98866df8bd71d08cfb834410.png
https://www.zoopla.co.uk//new-homes/details/54779858,"£1,024,000",3,NA,NA,NA,"The Ram Quarter, Ram Street, Wandsworth, London SW18",17th Apr 2020,A three bedroom dual aspect apartment located on the first floor of Cummings House. The entrance lobby leads through to hallway with doors to all rooms.,3 bed flat for sale,https://lid.zoocdn.com/354/255/4af1ccff32c10d3838b83d8e18d2a139ffb3fa92.jpg
https://www.zoopla.co.uk//new-homes/details/54779793,"£339,000",1,1,1,500 sq. ft*,"Colindale Gardens, London NW9",17th Apr 2020,"Bedrooms 1 price £339,000 floor 2nd",1 bed flat for sale,https://lid.zoocdn.com/354/255/7bf1dceef5378b7b98866df8bd71d08cfb834410.png
https://www.zoopla.co.uk//for-sale/details/54779784,"£390,000",1,NA,NA,NA,"Flat 11 Oslo Court, Prince Albert Road, London NW8",17th Apr 2020,"**For Sale By Public Auction6th May 2020 12:00 pm. To inspect the legal documents for this property go to our website to download the legal pack** A One Bedroom Ground Floor Flat Subject to an Assured Shorthold Tenancy Producing £19,200 per annum ...",1 bed flat for sale,https://lid.zoocdn.com/354/255/7368340029841571969e214e47bf34ca443118de.jpg
